상장 시기(상장월),최근 공모주 동향(최근 3개월 내의 종속변수 1인 갯수),최근 3개월 공모주 수,"최근 ""따"" 비율",희망공모가_하한,희망공모가_상한,공모가,밴드수익률(공모가/공모가_상한),기관경쟁률,청약경쟁률,의무보유확약,대표주간사,IPO 주간사 순위,총 공모주식 수,구주매출(비율),매출액(백만원),순이익(백만원),자본금(백만원),전문투자자(비율),우리사주조합(비율),일반청약자(비율),공모후 상장주식수(주식수),유통가능주식합계(비율),ROE,종속변수
5,6,14,0.43,11000,13000,14000,1.08,1847.12,2183.29,0.147,0,9,2000000,0.0,17098,1852,5744,0.75,0.0,0.25,11500000,0.2865,32.242339832869085,0
12,1,26,0.04,8000,10000,6000,0.6,11.35,40.92,0.0,1,13,2000000,0.0,208,-3714,6908,0.77,0.03,0.2,13800000,0.6255,-53.76375217139548,0
11,2,20,0.1,18000,23000,15000,0.65,64.33,566.54,0.0003,2,8,2400000,0.0,577,-44067,7742,0.8,0.0,0.2,15400000,0.2759,-569.1940067166107,1
3,6,18,0.33,26000,31000,20000,0.65,56.9,7.53,0.0265,3,1,1400000,0.0,32683,4346,367,0.74,0.01,0.25,3963211,0.3554,1184.1961852861034,0
10,1,14,0.07,4000,6000,5000,0.83,140.75,7.01,0.0432,4,1,16900000,0.0,28652,0,13375,0.8,0.0,0.2,67500000,0.25,0.0,0
8,1,19,0.05,8500,10000,10000,1.0,863.94,700.96,0.0585,5,3,700000,0.0,42151,2213,2324,0.7,0.1,0.2,3923873,0.4651,95.22375215146299,0
10,1,14,0.07,3200,4200,3500,0.83,181.93,345.4,0.0055,6,26,7904761,0.0,64575,0,39473,0.8,0.0,0.2,29800000,0.2653,0.0,0
3,10,13,0.77,6700,8000,10000,1.25,1613.16,1312.1,0.1819,2,8,3007320,0.0,152026,3866,6059,0.75,0.0,0.25,12100000,0.2857,63.80590856576993,0
5,4,12,0.33,34400,39700,43000,1.08,1669.6,823.74,0.4952,2,8,2218258,0.0,43973,14264,2121,0.69,0.06,0.25,12700000,0.2569,672.5129655822725,0
6,1,8,0.13,16000,19000,12000,0.63,32.53,3.4,0.0386,4,4,2362500,0.7143,84152,6356,3298,0.77,0.03,0.2,6596700,0.4744,192.7228623408126,0
